es,guh
dormir,majita
esperar; cuidar,eweta
jugar,namuxusita
buscar,jaita
dar; regalar,rajuta
lavar,quiata
comprar (una sola cosa),comuata
remar,waeta
llegar,pata
terminar; completar,wereta
estar gordo; estar grasoso,nasita
vender,canajeta
tomar; coger; recibir (una sola cosa),pita
¿Quién? ¿Cuál? (persona; animal),¿Detsa ponë?
¿Quién? (persona),¿Jipatsa?
mañana,merawia
noche; por la noche; anoche,merawi
esta noche,ajena pamerawi
patio,panabo
mi mamá,taena
mi papá,taxa
camino,namuto
árbol; palo,naejawa
escribir,yaquina
contar (una historia),paeba
cazar; pescar,narujuaita
yo cocino; yo cociné,xanë setajë
yo cocinaré,xanë setsianajë
yo cocinaría,xanë setsipajë
usted cocina; usted cocinó,xamë setame
usted cocinará,xamë setsianame
usted cocinaría,xamë setsipame
él cocina; ella cocina,ponë/powa seta
él cocinará; ella cocinará,ponë/powa setsiana
él cocinaría; ella cocinaría,ponë/powa setsipa
nosotros cocinamos (exclusivo),paxanë pasetajë
nosotros cocinaremos (exclusivo),paxanë pasetsianajë
nosotros cocinaríamos (exclusivo),paxanë pasetsipajë
nosotros cocinamos (inclusivo),waxaitsi setatsi
nosotros cocinaremos (inclusivo),waxaitsi setsianatsi
nosotros cocinaríamos (inclusivo),waxaitsi setsipatsi
ustedes cocinan; ustedes cocinaron,paxamë pasetame
ustedes cocinarán,paxamë pasetsianame
ustedes cocinarían,paxamë pasetsipame
ellos cocinan; ellas cocinan,pamonae seta
ellos cocinarán; ellas cocinarán,pamonae setsiana
ellos cocinarían; ellas cocinarían,pamonae setsipa
¡cocine (usted)!,xamë sere
¡no cocine (usted)!,xamë pëtsa setame
¡que cocine (él/ella)!,ponë/powa setsi
¡que no cocine (él/ella)!,ponë/powa pëtsa seta
¡cocinen (ustedes)!,paxamë pasere
¡no cocinen (ustedes)!,paxamë pëtsa pasetame
¡que cocinen (ellos/ellas)!,pamonae setsi
¡que no cocinen (ellos/ellas)!,pamonae pëtsa seta
me (prefijo de complemento directo),ne-
lo; la (a usted) (prefijo de complemento directo),ca-
nos (exclusivo) (prefijo de complemento directo),pane-
nos (inclusivo) (prefijo de complemento directo),naca-
los (a ustedes) (prefijo de complemento directo),paca-
Lo busqué (a usted).,xanë xamë cajaitatsi.
Lo busqué (a él); La busqué (a ella).,xanë ponë/powa jaitajë.
Los busqué (a ustedes).,xanë paxamë pacajaitatsi.
Los busqué (a ellos).,xanë pamonae jaitajë.
Usted me buscó.,xamë xanë nejaitame
Usted lo/la buscó (a él/ella).,xamë ponë/powa jaitame
Usted nos buscó.,xamë paxanë panejaitame
Usted los buscó (a ellos).,xamë pamonae jaitame
Él/Ella me buscó.,ponë/powa xanë nejaita
Él/Ella lo buscó a usted.,ponë/powa xamë cajaita
Él/Ella lo/la buscó a él/ella.,ponë/powa ponë/powa jaita
Él/Ella nos buscó (exclusivo).,ponë/powa paxanë panejaita
Él/Ella nos buscó (inclusivo).,ponë/powa waxaitsi nacajaita
Él/Ella los buscó a ustedes.,ponë/powa paxamë pacajaita
Él/Ella los buscó a ellos.,ponë/powa pamonae jaita
Lo buscamos a usted.,paxanë xamë pacajaitatsi
Lo/la buscamos a él/ella.,paxanë ponë/powa pajaitajë
Los buscamos a ustedes.,paxanë paxamë pacajaitatsi
Los buscamos a ellos.,paxanë pamonae pajaitajë
Lo/la buscamos a él/ella (inclusivo).,waxaitsi ponë/powa jaitatsi
Los buscamos a ellos (inclusivo).,waxaitsi pamonae jaitatsi
Ustedes me buscaron.,paxamë xanë panejaitame
Ustedes lo/la buscaron a él/ella.,paxamë ponë/powa pajaitame
Ustedes nos buscaron.,paxamë paxanë panejaitame
Ustedes los buscaron a ellos.,paxamë pamonae pajaitame
Yo los estaba buscando a ustedes.,xanë pacajaitatsi.
Nosotros lo estuvimos buscando a usted.,xamë pacajaitatsi.
Ellos me buscaron.,pamonae nejaita.
"prefijo reflexivo (me, te, se, nos)",na-
Me cuidé.,xanë naewetajë
Te cuidaste.; Se cuidó usted.,xamë naewetame
Se cuidó (él/ella).,ponë/powa naeweta
Nos cuidamos (exclusivo).,paxanë panaewetajë
Nos cuidamos (inclusivo).,waxaitsi naewetatsi
Se cuidaron ustedes.,paxamë panaewetame
Se cuidaron (ellos).,pamonae naeweta
sufijo de prominencia (indica que el complemento es prominente),-tsi
Sara esperó (a él/ella/ellos).,Sara eweta.
Sara fue esperada; Ellos esperaron a Sara.,Sara ewetatsi.
Roberto trabajaba.,Roberto nacueneba.
Rosa lo buscó (a él).,Rosa jaitatsi.
Roberto esperó a Rosa.,Roberto Rosa eweta.
Ella le dio la hamaca a él.,Rajutatsi bu.
cenar (verbo intransitivo),nabane
subir (verbo intransitivo),juna
sembrar (verbo transitivo),uba
jugar (verbo transitivo),namuxusita
Él lo siembra.,uba.
dar; regalar (verbo bitransitivo),rajuta
enseñar (verbo bitransitivo),cujaruba
Usted me lo dio.,Nerajutame.
Usted me lo compró.,Necomuatame.
Usted me lo enseñó; usted me enseñó.,Necujarubame
Usted me lo pidió.,Newajëcame
Usted me compró la hamaca (que yo vendía).,Necomuatame bu.
no hay; no está,ajibi
tener dolor; doler,atane
tener frío (persona o animal),aque
tener fuerza; estar vivo,asaë
tener calor; estar caliente,ataju
estar enfermo,awitane
estar malo; estar dañado,abeje
tener pereza,afaetabi
estar oscuro (por la noche),aitaquiri
ser imposible,acuenebi
"mezquinar (cosas); amar (familia, hijos)",asiwa
tener vergüenza,aura
tiempo futuro (partícula para adjetivos),tsane
modo potencial (partícula para adjetivos),tsipae
Tengo dolor.,xanë atanenë
Usted tiene dolor.,xamë atanemë
Él/Ella tiene dolor.,ponë/powa atane
Nosotros tenemos dolor (exclusivo).,paxanë patanenë
Nosotros tenemos dolor (inclusivo).,waxaitsi atanetsi
Tendré dolor. (Futuro),xanë atanenë tsane
Tendría dolor. (Potencial),xanë atanenë tsipae
¡tenga dolor (usted)!,xamë atanemere
¡no tenga dolor (usted)!,xamë petsa ataneme
¡que tenga dolor (él/ella)!,ponë/powa atane tsane
¡que no tenga dolor (él/ella)!,ponë/powa petsa atane
¡tengan dolor (ustedes)!,paxamë patanemere
¡no tengan dolor (ustedes)!,paxamë petsa pataneme
¡que tengan dolor (ellos)!,pamonae atane tsane
¡que no tengan dolor (ellos)!,pamonae petsa atane
Los amo a Uds. (dicho a miembros de la familia).,Pacaasiwatsi.
Ustedes dos tendrían dolor.,Atanemebeje tsipae.
"Amenlo (la, los) Uds. dos (a él, ella, o ellos).",Asiwamerebeje.
Tendremos frío los dos.,Aquetsibeje tsane / Aque tsanetsibeje.
Me ama (él/ella),Níasiwa
Lo ama a usted (él/ella),Casiwa
Se aman (ellos); se ama (él/ella),Nasiwa
Me espera (él/ella),Neweta
Lo espera a usted (él/ella),Caeweta
Me manda (él/ella),Nitoroba
Lo manda a usted (él/ella),Caitoroba
Me amuela (él/ella),Niojoba
Lo amuela a usted (él/ella),Caojoba
Me flecha (él/ella),Niupaxuaba
Lo flecha a usted (él/ella),Caupaxuaba
Me prueba (él/ella),Në́jëta
Lo prueba a usted (él/ella),Caëjëta
Los amuela (a ellos) [Sujeto implícito 3a persona],ojobatsi
Se amuela (reflexivo),naojoba
Los flecha (a ellos) [Sujeto implícito 3a persona],upaxuabatsi
Se flecha (reflexivo),naupaxuaba
Los prueba (a ellos) [Sujeto implícito 3a persona],ëjëtatsi
Se prueba (reflexivo),naëjëta
Tengo gusanos (Sin cambio por vocal inicial larga),neoroba
Tienes gusanos (Sin cambio por vocal inicial larga),caoroba
Dolemos (tenemos dolor),patanenë
Esperamos,paewetajë
Mandamos,paitorobajë
Tocamos flauta,paobajë
Cortamos,paucutajë
Probamos,paëjëtajë
Nos sentamos (Sin cambio por vocal larga),paecajë
Sembramos (Sin cambio por vocal larga),paubajë
(un saludo interrogativo),¿Jica?
Sí.,Jaja.
¿Para dónde va?,¿Dëtsa beliamë?
Ahora voy hasta la casa de Martín.,Abaxë ra belia ponajë Martinjawabelia.
Bueno.,Je.
Su mano. Me voy.,Necobeyo. Ponajë baja.
(un saludo interrogativo),¿Jica?
Sí.,Jaja
¿Para dónde va?,¿Detsa beliame?
Ahora voy hasta la casa de Martín.,Abaxe ra belia ponaje Martinjawabelia.
Bueno.,Je.
Su mano. Me voy.,Necobeyo. Ponaje baja.
ir hacia el norte o sur (o hacia afuera),lia
ir hacia el occidente (o hacia arriba),tsia
ir hacia el oriente (o hacia abajo),reca
venir desde el norte o sur (o desde afuera),rena
venir desde el occidente (o desde arriba),tsica
venir desde el oriente (o desde abajo),tsina
arco,bitsabi
¡cuidado!,xania
es verdad; dice la verdad,xaniajai
"¡ay, ay, ay! (indica dolor)",jaque
"¡ay, ay, ay! ¡huy! ¡ay! (indica sorpresa)",jaipe
¡venga!; rápidamente,naxatsia
estar enojado,anaepana
estar bueno; estar bien; gracias,xanepana
vomitar,yacaba
pájaro,baratsuito
"Voy hacia el norte (el sur, o hacia afuera).",Xane liane.
Usted va hacia el norte.,Xame liame.
El/ella va hacia el norte.,Pone/powa lia.
Nosotros vamos hacia el norte.,Paxane paponaliaje.
Nosotros todos vamos hacia el norte.,Waxaitsi ponaliatsi.
Ustedes van hacia el norte.,Paxame paponaremelia.
Ellos van hacia el norte.,Pamonae ponalia.
Nosotros dos vamos hacia el norte.,Waxaitsibeje liatsibeje.
Nosotros dos vamos hacia el norte (forma alternativa).,Paponaliajebeje.
tener buena suerte,yopia
estar feliz,bareya
odiar,itoya
sanarse,jume
estar pobre; estar en desdicha,bejiobi
estar muchos; ser rápido,apaaxayo
tubérculo de ñame,nobe
pelota; balón,balonbe
verada de la flecha,xuatabo
lombriz,towinabo
lápiz,lapibo
mata de maíz,jetsaboto
palma de cumare,cumaliboto
palo de algodón; algodonero,papaenae
árbol de marañón o merey,xuruinae
avión,avionmo
yucuta (bebida de casabe con agua),perira
gasolina,gasolinara
"fariña, mañoco",matsucabeno
azúcar,azucarbeno
el rico,ricune
estrella,tuluputo
piedra,iboto
el perrito,awiriyo
los perritos,awirixi
el perrito de él,pijaneyo awiri
los perritos de él,pijanexi awirixi
el nombrecito,peweneyo
los nombrecitos,pewenexi
el ojito,pitaxutoyo
los ojitos,pitaxutoxi
la viejita,perujuwayo
las viejitas,perujuwaxi
Manuelito,Manuelneyo
Sarita,Sarawayo
cocinar,seta
malo,abeje
negro,tsaebia
casa para cocinar,pesetsibo
casa mala,piabejebo
casa negra,petsaebiabo
conuco malo,piabejepabi
conuco negro o quemado (forma rara),petsaebiapabi
mano (de animal) cocinada (forma rara),pesetsicobe
mano mala,piabejecobe
mano negra,petsaebiacobe
cocinera,pesetsiwa
mujer mala,piabejewa
mujer negra,petsaebiawa
cocinero; animal cocinado; olla,pesetsine
hombre o animal malo,piabejene
hombre o animal negro,petsaebiane
cocineros,pesetsiwi
personas malas,piabejewi
negros (personas),petsaebiawi
manera de cocinar,pesetsicuene
manera mala,piabejecuene
líquido cocinado; agua cocinada,pesetsira
líquido malo,piabejera
líquido negro,petsaebiara
árbol/arco malo,piabejenae
árbol/arco negro (forma rara),petsaebianae
el perro negro (frase ejemplo),petsaebiane awiri
vivir; morar,ponapona/jinawanapa
volver; regresar,nawiata/nawiaba
sentarse; estar sentado; estar presente,eca/ena
acostarse; estar acostado,boca/bobena
estar de pie,nuca/nubena
acostarse (colgado en hamaca); estar acostado; estar colgado,ruca/rubena
"poner (sobre algo, como un estante)",eta/jeba
poner derecho; colocar de pie,nuta/nuba
poner (en posición horizontal),buata/jeba
colgar,ruta/ruba
agarrar,waetaba/taica
perder; botar,xuaba/peneta
caerse,jopa/othopa
estar viniendo; andar hacia un lugar,najetaruca/najetarubena
pedir,wajeta/wajeca
principiar viaje,naropota/naropoba
huir,najetabijirawa/recepa
tomar (en la mano); coger,pita/nota
echar adentro,jia/jeba
Roberto está (colgado) en la hamaca.,Roberto buta ruca.
Sara está (sentada) en la casa.,Sara bota eca.
Ramón está (parado) en el patio.,Ramon wayafota nuca.
Roberto puso (paró) el arco en la casa.,Roberto bitsabi bota nuta.
Roberto colgó la hamaca en la casa.,Roberto bu bota ruta.
Sara puso (colgó) a Ramoncito en la hamaca.,Sara Ramoncito buta ruta.
danta; tapir,metsaja
venado sabanero,ovebi
pez; pescado,dujuaine
peces; pescados,dujuai
hierba,pona
armadillo; cachicamo sabanero,tujube
¿Cuántos conucos?,¿Detsa papabibeje?
¿Cuántos nombres?,¿Detsa pawenebeje?
gente,jiwi
mono maicero,papabe
tigre (jaguar),newethe
ratón,iri
sentarse / estar sentado,eca / ena
Yo me siento / estoy sentado,Xane ecaje
Usted se sienta / está sentado,Xame ecame
Él/ella se sienta / está sentado,Pone/powa eca
Nosotros nos sentamos (exclusivo),Paxane paenaje
Nosotros nos sentamos (inclusivo),Waxaitsi enatsi / ecatsi
Ustedes se sientan,Paxame paename
Ellos se sientan,Pamonae ena
Ellos dos se sientan,Ponebeje ecabeje
Nosotros dos nos sentamos (exclusivo),Paxanebeje paecajebeje
Nosotros dos nos sentamos (inclusivo),Waxaitsibeje ecatsibeje
Ustedes dos se sientan,Paxamebeje paecamebeje
hombre de Bogotá,Bogotapijine
hombre del pueblo (no campesino),tomarapijine
animal del río (ej.: pez),menepijine
animal de la sabana (ej.: venado sabanero),wayafopijine
gente del pueblo (o ciudad),tomarapijiwi
costumbres del pueblo (o ciudad),tomarapijicuene
conuco veranero (sembrado en verano),waipijipabi
Roberto (difunto),Robertopijine
Sara (difunta),Sarapijiwa
hombre (funcionario) del gobierno,gobiernoyajawenene
hombre (funcionario) del gobierno (forma alternativa),gobiernopijiwiyajawenene
uno de ellos,pamonaeyajawenene
gente (funcionarios) del gobierno,gobiernoyajawenejiwi
Ser hombre,Pebi
Soy hombre.,Pebine.
(Usted) es hombre.,Pebime.
(El) es hombre.,Pebi.
Somos hombres.,Papebijiwine.
Todos somos hombres.,Pebijiwitsi.
(Ustedes) son hombres.,Papebijiwime.
(Ellos) son hombres.,Pebijiwi.
(Nosotros dos) somos hombres.,Pebitsibeje.
hombre,pebi
hombres (plural),pebijiwi
hombres (diminutivo plural),pebinexi
mujer,petiriwa
mujeres (plural),petiriawi
mujeres (diminutivo plural),petiriwaxi
Soy monolingüe (literalmente: yo una lengua).,Caejumene.
Tengo un solo nombre (literalmente: yo un nombre).,Caewenene.
Soy un viejo.,Perujunene
(Usted) es un viejo.,Perujuneme
(Él) es un viejo.,Perujune
Somos unos viejos.,Paperujuwine
Todos somos unos viejos.,Perujuwitsi
(Ustedes) son unos viejos.,Paperujuwime
(Ellos) son unos viejos.,Perujuwi
(Nosotros dos) somos unos viejitos.,Perujuneyotsibeje
Soy cocinera.,Tasetsiwa
(Usted) es cocinera.,Nesetsiwa
(Ella) es cocinera.,Pesetsiwa
Somos cocineros/cocineras (Exclusivo).,Patasetsiwi
Todos somos cocineros/cocineras (Inclusivo).,Wajasetsiwi
(Ustedes) son cocineros/cocineras.,Panesetsiwi
(Ellos/Ellas) son cocineros/cocineras.,Pesetsiwi
(Nosotros dos) somos cocineras.,Wajasetsiwabeje
Soy un enfermo (que le duele siempre).,Tatanene
(Usted) es un llorón.,Neaeaejaine
Somos así.,Pataitsiwi
Soy un hombre feliz.,Tabareyane
Es el ex capitán.,Capitannemi
Era un cocinero.,Pesetsinemi
Era un viejo.,Perujunemi
Era el perro que yo tenía. (El perro era mío).,Tajanemi awiri
Es la casa que yo tenía.,Tajabomi
Era el finado Roberto.,Robertopijine / Robertopijinemi
una casa,caebo
un nombre,caewene
uno (un hombre/macho),caene
dos casas,anijabobeje
dos nombres,anijawenebeje
dos (hombres/machos),anijanebeje
tres casas,acueyabi pabobeje
tres nombres,acueyabi pawenebeje
tres (hombres/machos),acueyabi ponebeje
cuatro casas (forma con préstamo),cuatro pabobeje
cuatro nombres,cuatro pawenebeje
cuatro (hombres/machos),cuatro ponebeje
cuatro casas (forma nativa menos común),penayanatsi pabobeje
cinco casas (forma con préstamo),cinco pabobeje
cinco nombres,cinco pawenebeje
cinco (hombres/machos),cinco ponebeje
"cinco (literalmente ""una mano"")",caecobe
Uno (una cosa),Caejawa
Dos (dos cosas),Anijajawabeje
Tres (tres cosas),Acueyabi xuabeje
Cuatro (cuatro cosas),Cuatro xuabeje
Cinco (cinco cosas),Cinco xuabeje
Mateo y Felipe se fueron.,Mateobeje Felipebeje ponabeje.
Mateo tiene frío. Felipe también tiene frío.,Mateo aque. Felipeata aque.
Sara también tiene frío.,Saranua aque.
Mateo vio un venado y un armadillo.,Mateo tane owebi tujubenua.
Tengo frío y me duele.,"Xane aquene, atanenenua."
Brincó muchas veces.,Jirejirewa.
Se sentó por mucho tiempo.,Eeca.
Se sentaron por mucho tiempo (Plural).,Enaena.
Se bañó por mucho tiempo.,Nawanawane.
Rayó (la yuca) por mucho tiempo.,Iriiriba.
Siguió mandando (repetidamente).,Itoitoroba.
"Pregunta directa (""¿Cuál quiere?"")",¿Qué quiere tomar? (¿Quiere tinto o limonada?)
"Condicional (""Si no..."")","¿Quiere tinto? Si no, ¿quiere limonada?"
"Condicional (""Si no..."")","Váyase. Si no, quédese."
Préstamo (Uso del español),¿Quiere café o limonada?
Belia,Hacia el norte o sur (o hacia afuera).
Betsia,Hacia el occidente (o hacia arriba).
Bereca,Hacia el oriente (o hacia abajo).
Werena,Desde el norte o sur (o desde afuera).
Wetsica,Desde el occidente (o desde arriba).
Wetsina,Desde el oriente (o desde abajo).
Welia,"Desde aquí (o un punto), hacia el norte o sur."
Wetsia,"Desde aquí (o un punto), hacia el occidente (o arriba)."
Wereca,"Desde aquí (o un punto), hacia el oriente (o abajo)."
Berena,"Hacia acá (o un punto), desde el norte o sur (o afuera)."
Betsica,"Hacia acá (o un punto), desde el occidente (o arriba)."
Betsina,"Hacia acá (o un punto), desde el oriente (o abajo)."
Roberto wetsina pata.,Roberto llegó desde el oriente.
Sara bereca pona.,Sara se fue hacia el oriente.
Roberto wereca pona.,Roberto se fue de aquí (hacia el oriente).
Sara wetsia eca.,Sara está sentada a este lado de algo que está en el occidente.
¿De dónde?,¿Detsa werena?
Flecha / Verada de flecha,Xuatabo
Alacrán,Aqueto
llegar,Pata
"Abrir (libro, etc.)",Pata
Huevo,Petobeto
"Hombre latino (""blanco"")",Wowaine
Pez pavón,Bowitsane
Lombriz (tierra o intestinal),Towinabo
Pez piraña (o caribe),Cowarabo
Muchacha,Pejewaxiwa
Lluvia / Está lloviendo,Ema
Casabe,Peri
pueblo,tomara
pueblos,tomarane
dos pueblos,tomarabeje
pueblitos,tomaraxi
río,mene
ríos,meniane
dos ríos,menebeje
riitos,menexi
conuco,pabi
conucos,pabiane
dos conucos,pabibeje
conuquitos,pabixi
sabana,wayafo
sabanas,wayafuane
dos sabanas,wayafobeje
sabanitas,wayafoxi
monte,unu
montes,unuane
dos montes,unubeje
montesitos,unuxi
hoyo,methe
hoyos,metneane
dos hoyos,methebeje
hoyitos,methexi
lagartijo,tiwa
lagartijos,tiwane
dos lagartijos,tiwabeje
lagartijitos,tiwaxi
palabra,pijume
palabras,pijumene
dos palabras,pijumebeje
palabritas,pijumexi
canción,waji
canciones,wajiane
dos canciones,wajibeje
cancioncitas,wajixi
puente,imo
puentes,imone
dos puentes,imobeje
puentecitos,imoxi
otra cosa,itsajawa
otras cosas,itsajawane
otras dos cosas,itsajawabeje
otras cositas,itsajawaxi
otro cilindro,itsabo
otros cilindros,itsabone
otros dos cilindros,itsabobeje
otros cilindritos,itsaboxi
otra manera,itsacujiru
otras maneras,itsacujiruane
otras dos maneras,itsacujirubeje
otras maneritas,itsacujiruxi
otro líquido,itsara
otros líquidos,itsarane
otros dos líquidos,itsarabeje
otros liquiditos,itsaraxi
otro vehículo,itsamo
otros vehículos,itsamone
otros dos vehículos,itsamobeje
otros vehiculitos,itsamoxi
otro racimo,itsaru
otros racimos,itsaruane
otros dos racimos,itsarubeje
otros racimitos,itsaruxi
hombre,pëbi
hombres,pëbijiwi
dos hombres,pëbitsibeje
hombrecitos,pëbinëxi
mujer,petiriwa
mujeres,petiriawi
dos mujeres,petiriwabeje
mujercitas,petiriwaxi
peces (forma primitiva/plural),dujuai
pez (forma singular),dujuainë
peces (plural con -anë),dujuainëanë
pececitos,dujuainëxi
alacranes (forma primitiva/plural),aque
alacrán (forma singular),aqueto
alacranes (plural con -anë),aquetonë
dos alacranes (dual),aquetobeje
alacrancitos,aquetoxi
veradas (forma primitiva/plural),xuata
verada (forma singular),xuatabo
veradas (plural con -anë),xuatabonë
veraditas,xuataboxi
dos osos meleros,cofiabeje
ositos meleros,cofiaxi
gente (sustantivo colectivo),jiwi
hombre (Sikuani/Guahibo),jiwitone
hombres (Sikuani/Guahibo),jiwitoneane
mujer (Sikuani/Guahibo),jiwitowa
mujeres (Sikuani/Guahibo),jiwitowane
antes de,-wajenae
delante de / frente de,-wajenaeya
después de / detrás de,-cujinae
al lado de,-canacujitsia
en / con,-ta
en el lugar de / cuando,-jawata
durante todo,-jebi / -jebita
por / a través de,-a (-ya) / -jawa
porque / por ser,-xae
por culpa de,-cobexae
por culpa de (reprensión),-maxetepa
para,-nexa
para que no / evitar que,-yaniwa
Llegué antes de la lluvia.,Pataje emawajenae.
Está parado delante de la casa.,Bowajenaeya nuca.
Irá antes del verano.,Waiwajenaeya ponaena.
Está (parado) detrás de la casa.,Bocujinae nuca.
Sembrará después del verano.,Waicujinae ubiana.
El avión cayó al lado de la casa.,Bocanacujitsia avión jopa.
Está en mi casa (parado).,Tajabota nuca.
Llegó a la casa.,Bojawata pata.
Ladra porque es un perro.,Awirixae jojojai.
"Porque era mi casa, la vendí.",Tajabomixae canajetaje.
No fui porque llovió (culpa de la lluvia).,Emacobexae apoponaene.
"Por culpa de la lluvia, no tenemos casabe.",Emamaxetepa peri ajibi.
Lo compró para la casa.,Bonexa comuata.
Está acostado en la hamaca para evitar el rayo.,Yamaxeyaniwa ruca.
Lo colgó contra (para evitar) el rayo.,Yamaxeyaniwa ruta.
El perro ladró toda la noche.,Merawijebi awiri jojojai.
Comeré antes de irme.,Nabananaje taponaewajenaeya.
Estoy cansado después del viaje.,Cueranaje taponaecujinae.
Comeré cuando llegue.,Nabananaje tapatsijawata.
Estoy cansado porque fui.,Cueranaje taponaexae.
Iré a (para) trabajar.,Ponanaje tanacuenebinexa.
Iré para no trabajar.,Ponanaje tanacuenebiyaniwa.
Está (parado) detrás de la casa en el lado oriental.,Bocujinaereca nuca.
Llegó a la casa que está en el oriente.,Bojawatareca pata.
Hola.,Bajaco
Respuesta.,Je
¿Qué hay?,Jica
Sí. (Respuesta.),Jaja
Estamos aquí.,Paenajë
Respuesta.,Je
Vine/vinimos a visitarles.,Pacasiwaxainatsi
Respuesta.,Je
Siga para adentro.,Jonëmena
Respuesta. (Bueno.),Je
Hasta luego. (Regreso ya.),Nawiatajë baja
Respuesta.,Je
Me voy ya.,Ponajë baja
Respuesta.,Je
¿Cuál es su nombre? (Ud.),Dëtsa pawënëmë xamë
¿Cómo se llama su esposo?,Dëtsa pawënë amona
¿Cómo se llama su esposa?,Dëtsa pawënë nijawayo
¿Cómo se llama su hijo?,Dëtsa pawënë nexënato
¿Cómo se llama su hija?,Dëtsa pawënë nexënatoyo
¿Cómo se llama él?,Dëtsa pawënë ponë
¿Cómo se llama ella?,Dëtsa pawënë powa
¿Cuántos años tiene? (Ud.),Dëtsa pawaiibeje xainame
¿Dónde vive usted?,Dëtsa jota ëcame
¿Dónde nació usted?,Dëtsa jota naexaname
¿Cuántos hijos tiene usted?,Dëtsa pajiwiyobeje nexi
¿De dónde vino usted?,Dëtsa wërena patame
¿Dónde queda la escuela?,Dëtsa jota ëca escuëlabo
¿Dónde está Juan?,Dëtsa jota ëca Juan
Está en su casa.,Pijabota ëca
Está trabajando en su conuco.,Pabita nacuëneba
Está pescando (o cazando).,Jina
Está cazando (o pescando).,Narujuaita
¿Qué está haciendo usted?,Dëtsa xua exaname
¿Qué estoy haciendo?,Dëtsa xua exanajë
¿Qué está haciendo él/ella/ellos?,Dëtsa xua exana
¿Qué animal está cantando?,Dëtsa ponë fiaba
¿Qué es?,Dëtsa pitsijawa
¿Qué busca usted?,Dëtsa xua jaitame
¿Cuándo irá usted?,Dëtsa pacujinae ponaename
Hoy.,Ajëna
Mañana.,Merawia
Pasado mañana.,Pamerawia/Merawia caeto
¿Quién llegó?,Jipatsa pata
¿Para dónde va usted?,Dëtsa beliamë
Voy al conuco.,Pabiabelianë
Voy al río.,Meniabelianë
Al caño.,Penajatojawabelia
A la casa.,Boyabelia
¿Cuándo vendrá? (Ud.),Dëtsa pacujinae patsianame
Deme casabe.,Përi nerajure
Le compro casabe.,Përi cacomuatsiantsi
¿Cuánto cuesta?,Dëtsa pacuënia namatamota
¿Qué es/era el precio?,Dëtsa pamatamo
¿Cuánto me cobrarás?,Dëtsa pacuënia necobrabianame
Présteme la/su pala.,Pala netsicopatsianame
Se la presto solamente.,Saya catsicopatsianatsi
No quiero venderlo.,Apojitsipaënë tacanajëtsijawa
Es único. (No tengo más.),Caejawayo bitso
No hay./No tengo.,Ajibi
Hágame un favor.,Pexaniacuëne netoexanare
Ayúdame.,Neyawenonaename
Le pagaré.,Camatamotsiantsi
No quiero comprarlo.,Apojitsipaënë tacomuatsijawa
Vale mucho.,Namatamota bitso
Es gratis.,Amonëya
No le oí/no le entendí (a usted).,Apo cajumetaetsi
Otra vez.,Icatsia
Despacio./En voz baja.,Beaxayo
¿Cuál es el significado de aquella palabra?,Dëtsa pajamatabëcuëne xaina bajarapajume
¿Cómo se llama esto?,Dëtsa pawënë maxuaje
¿Cómo se llama aquella cosa?,Dëtsa pawënë bajaraxua
¿Qué estoy haciendo?,Dëtsa xua exanajë
¿Cómo se siente?,Dëtsa itsimë
¿Tiene dolor?,Atanemë
Sí.,Jaja
No. No tengo. (No hay.),Jume Ajibi
¿Dónde le duele?,Dëtsa jota atane
Aquí.,Majotaje
¿Cuándo principió?,Detsa pacujinae taxuxuaba
Tengo dos semanas (desde que se principió).,Anijasemanabeje xainajë
¿Tiene diarrea?,Suliabatsi
¿Usted tiene diarrea?,Casuliaba
¿Tiene vómito?,Yacaba
¿Usted tiene vómito?,Yacabame
¿Tiene fiebre?,Romaebatsi
¿Usted tiene fiebre?,Caromaeba
¿Tiene calor?,Ataju
¿Usted tiene calor?,Atajumë
¿Tiene escalofríos? (¿Le da temblor?),Necotatsi
¿Usted tiene escalofríos?,Canecota
¿Tiene náusea? (¿Le provoca vomitar?),Jamatabëyacaba
¿Usted tiene náusea?,Jamatabëyacabame
¿Le arde?,Sajawa
Está hinchado.,Yajina
Tiene sangre (o hemorragia).,Pijina
Tengo sangre (o hemorragia).,Tajana
Está infectado.,Tsabana
Está amarillo.,Wayana
Está pálido.,Najerona
Tiene parásitos intestinales.,Towina xaina
Tiene corta la respiración.,Pijumali/Jumalibatsi
Tiene sarampión.,Atsabo xaina/Quiriquiri xaina
Vomitó lombrices.,Towina yacaba
Tiene moco.,Pumunibatsi
Está ronco.,Acuibojumëbi
Tiene trastornos mentales.,Namataxaina
Está muy inquieto.,Matajemabatsi
Se privó.,Tëpajunua
Se priva (más de una vez).,Tëpajunujunua
"Está cansado, o débil.",Cuerana
Está adormecido.,Tsënena
Lea esto.,Yorobare maxuaje
Escriba esto.,Yaquinare maxuaje
¿Qué dice esto?,Dëtsa jumaitsi maxuaje
Vamos a contar.,Namataëjetsianatsi
Vamos a leer.,Yorobianatsi
Vamos a cantar.,Naxënaenatsi
Sigan (para adentro).,Pajonëmena
Siéntense.,Paenare
Venga y escriba en el tablero.,Naxatsia tableroya yaquinare
Escriba su nombre aquí.,Newënë yaquinare majotaje
Pónganse de pie.,Panonotapunare
Quisiera salir para orinar.,Jitsipajë tanaraejawa / Naraejitsianë
